onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueLeft	1	0.553
14	1	ICNS	BlueLeft	1	0.497
18.5	1	ICNS	BlueRight	1	0.636
23	1	CS	RedRight	1	0.582
27.5	1	CNS	RedLeft	1	0.521
33	1	ICS	BlueRight	1	0.505
38.5	1	CS	RedLeft	0	0.697
41	1	CNS	RedRight	1	0.825
43.5	1	CNS	RedLeft	1	0.562
48	1	ICS	BlueRight	1	0.637
52.5	1	ICNS	BlueRight	1	0.566
56	1	CS	RedRight	1	0.748
58.5	1	CNS	RedLeft	1	0.444
61	1	CNS	RedLeft	1	0.477
66.5	1	ICS	BlueRight	1	0.661
70	1	CS	RedLeft	1	0.667
73.5	1	ICS	BlueLeft	1	0.608
77	1	ICNS	BlueRight	1	0.461
80.5	1	CS	RedLeft	1	0.611
84	1	CNS	RedLeft	1	0.465
89.5	1	ICS	BlueRight	1	0.608
95	1	CS	RedRight	1	0.769
98.5	1	CNS	RedRight	1	0.47
104	1	ICS	BlueRight	1	0.566
106.5	1	ICNS	BlueLeft	1	0.55
110	1	CS	RedLeft	1	0.452
112.5	1	CNS	RedLeft	1	0.477
116	1	ICS	BlueLeft	1	0.555
118.5	1	ICNS	BlueLeft	1	0.62
123	1	ICNS	BlueLeft	1	0.646
128.5	1	CS	RedRight	1	0.717
134	1	ICS	BlueLeft	1	0.581
136.5	1	ICNS	BlueRight	1	0.654
141	1	CS	RedLeft	1	0.561
146.5	1	CNS	RedRight	0	0.663
151	1	CNS	RedLeft	0	0.626
155.5	1	ICS	BlueLeft	1	0.685
158	1	ICNS	BlueLeft	1	0.597
160.5	1	ICNS	BlueRight	1	0.542
165	1	CS	RedRight	1	0.601
168.5	1	CNS	RedRight	1	0.559
172	1	ICS	BlueRight	1	0.564
174.5	1	CS	RedRight	1	1.033
179	1	ICS	BlueLeft	1	0.535
183.5	1	ICNS	BlueLeft	1	0.498
188	1	ICNS	BlueRight	1	0.748
190.5	1	CS	RedRight	1	0.757
195	1	CNS	RedLeft	1	0.576
200.5	1	ICS	BlueRight	1	0.719
203	1	ICNS	BlueRight	1	0.676
206.5	1	CS	RedRight	1	0.535
210	1	ICS	BlueLeft	1	0.531
214.5	1	ICNS	BlueLeft	1	0.518
218	1	ICNS	BlueLeft	1	0.508
223.5	1	CS	RedLeft	1	0.532
227	1	CNS	RedRight	1	0.632
232.5	1	ICS	BlueLeft	1	1.205
237	1	ICNS	BlueLeft	1	0.587
240.5	1	CS	RedLeft	1	0.641
244	1	CNS	RedRight	1	0.678
249.5	1	ICS	BlueRight	1	0.51
253	1	ICNS	BlueLeft	1	0.596
257.5	1	CS	RedLeft	1	0.846
263	1	CNS	RedRight	1	1.043
265.5	1	ICS	BlueRight	1	0.727
270	1	CS	RedLeft	0	0.594
273.5	1	CNS	RedRight	1	0.431
279	1	CNS	RedLeft	1	0.543
283.5	1	ICS	BlueRight	1	0.633
289	1	ICNS	BlueRight	1	0.553
294.5	1	CS	RedRight	1	0.633
297	1	CNS	RedRight	1	0.426
299.5	1	ICS	BlueLeft	0	0.498
302	1	ICNS	BlueRight	1	0.674
304.5	1	ICNS	BlueRight	1	0.516
310	1	CS	RedRight	1	0.627
313.5	1	CNS	RedLeft	1	0.736
316	1	CNS	RedRight	1	0.456
320.5	1	ICS	BlueLeft	1	0.603
326	1	CS	RedLeft	1	0.667
